movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
avatar,Action Adventure Fantasy Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
pirates of the caribbean: at world's end,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
spectre,Action Adventure Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
the dark knight rises,Action Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
star wars: episode vii - the force awakens,Documentary,Doug Walker,Doug Walker,Rob Walker,unknown,Doug Walker Rob Walker unknown Doug Walker Documentary
john carter,Action Adventure Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
avengers: age of ultron,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
harry potter and the half-blood prince,Adventure Family Fantasy Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
batman v superman: dawn of justice,Action Adventure Sci-Fi,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
superman returns,Action Adventure Sci-Fi,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
quantum of solace,Action Adventure,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
pirates of the caribbean: dead man's chest,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
the lone ranger,Action Adventure Western,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
man of steel,Action Adventure Fantasy Sci-Fi,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
the chronicles of narnia: prince caspian,Action Adventure Family Fantasy,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
pirates of the caribbean: on stranger tides,Action Adventure Fantasy,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
the hobbit: the battle of the five armies,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the amazing spider-man,Action Adventure Fantasy,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
the hobbit: the desolation of smaug,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
the golden compass,Adventure Family Fantasy,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
